id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401127044,2019,1,regular,2019-08-31T19:00:00.000Z,False,False,False,,3782,Johnson Hagood Stadium,2643,The Citadel,Southern,fcs,21.0,"[0, 14, 0, 7]",,,,119,Towson,CAA,fcs,28.0,"[7, 10, 0, 11]",,,,,,
401126937,2019,1,regular,2019-08-31T19:00:00.000Z,False,False,False,,1905,DakotaDome,233,South Dakota,MVFC,fcs,17.0,"[0, 10, 7, 0]",,,,149,Montana,Big Sky,fcs,31.0,"[0, 17, 14, 0]",,,,,,
401114233,2019,1,regular,2019-08-31T19:00:00.000Z,False,False,False,65709.0,3765,Husky Stadium,264,Washington,Pac-12,fbs,47.0,"[21, 7, 14, 5]",0.9633836420170544,,,331,Eastern Washington,Big Sky,fcs,14.0,"[0, 7, 0, 7]",0.0366163579829456,,,0.453027934199999,https://www.youtube.com/watch?v=9iFSsZ_G6M8,
401136278,2019,1,regular,2019-08-31T19:00:00.000Z,False,False,False,,6048,Duane Stadium,2771,Merrimack,FCS Independents,fcs,45.0,"[17, 14, 0, 14]",,,,2355,Virginia Lynchburg,,,14.0,"[7, 0, 7, 0]",,,,,,
401112257,2019,1,regular,2019-08-31T19:30:00.000Z,False,False,False,104527.0,3632,Beaver Stadium,213,Penn State,Big Ten,fbs,79.0,"[20, 24, 14, 21]",0.9999634144875306,,,70,Idaho,Big Sky,fcs,7.0,"[0, 0, 0, 7]",0.000036585512469433645,,,1.70947009479999,https://www.youtube.com/watch?v=Ql0X_D8EzIQ,
401117857,2019,1,regular,2019-08-31T19:30:00.000Z,False,False,False,28531.0,3852,Navy-Marine Corps Memorial Stadium,2426,Navy,American Athletic,fbs,45.0,"[10, 14, 14, 7]",0.9999537706580122,,,107,Holy Cross,Patriot,fcs,7.0,"[0, 7, 0, 0]",0.00004622934198783568,,,0.777312768799999,https://www.youtube.com/watch?v=ejgJ4oZib8w,
401117494,2019,1,regular,2019-08-31T19:30:00.000Z,False,False,False,33101.0,3713,Falcon Stadium,2005,Air Force,Mountain West,fbs,48.0,"[7, 28, 13, 0]",0.9999713354400592,,,2142,Colgate,Patriot,fcs,7.0,"[0, 0, 7, 0]",0.000028664559940771994,,,0.317942011499999,https://www.youtube.com/watch?v=uKMbaKUwghc,
401121934,2019,1,regular,2019-08-31T19:30:00.000Z,False,False,False,25147.0,3792,Kidd Brewer Stadium,2026,Appalachian State,Sun Belt,fbs,42.0,"[7, 7, 14, 14]",0.9999252284348996,,,2193,East Tennessee State,Southern,fcs,7.0,"[0, 0, 7, 0]",0.00007477156510038441,,,0.354547435599998,,
401119256,2019,1,regular,2019-08-31T19:30:00.000Z,,False,False,14237.0,3654,Brooks Stadium,324,Coastal Carolina,Sun Belt,fbs,23.0,"[10, 3, 0, 10]",0.11946296522368414,1256.0,1259.0,2199,Eastern Michigan,Mid-American,fbs,30.0,"[0, 7, 16, 7]",0.8805370347763158,1466.0,1463.0,5.16261689369999,,
401110729,2019,1,regular,2019-08-31T19:30:00.000Z,,True,False,52183.0,3628,Bank of America Stadium,153,North Carolina,ACC,fbs,24.0,"[3, 3, 3, 15]",0.9751738724975034,1409.0,1424.0,2579,South Carolina,SEC,fbs,20.0,"[10, 3, 7, 0]",0.024826127502496576,1532.0,1517.0,5.6522943457,https://www.youtube.com/watch?v=2o-5QGRy_R0,
401110720,2019,1,regular,2019-08-31T19:30:00.000Z,,True,False,71916.0,5348,Mercedes-Benz Stadium,333,Alabama,SEC,fbs,42.0,"[0, 14, 21, 7]",0.999990884676356,2005.0,2064.0,150,Duke,ACC,fbs,3.0,"[0, 3, 0, 0]",0.00000911532364400447,1526.0,1467.0,0.4601882762,https://www.youtube.com/watch?v=fK1UnQg95kI,
401110730,2019,1,regular,2019-08-31T19:30:00.000Z,,False,False,85503.0,3853,Neyland Stadium,2633,Tennessee,SEC,fbs,30.0,"[14, 3, 3, 10]",0.2713042563438635,1399.0,1372.0,2247,Georgia State,Sun Belt,fbs,38.0,"[7, 7, 7, 17]",0.7286957436561365,1265.0,1292.0,4.9993861006,https://www.youtube.com/watch?v=OSwuWNJJYB4,
401112435,2019,1,regular,2019-08-31T20:00:00.000Z,,False,True,35213.0,3615,Alumni Stadium,103,Boston College,ACC,fbs,35.0,"[7, 21, 0, 7]",0.9939153058646774,1591.0,1597.0,259,Virginia Tech,ACC,fbs,28.0,"[7, 7, 7, 7]",0.006084694135322644,1520.0,1514.0,6.4579152991,https://www.youtube.com/watch?v=OeF24HMVPKI,
401110721,2019,1,regular,2019-08-31T20:00:00.000Z,False,False,False,61055.0,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,8,Arkansas,SEC,fbs,20.0,"[10, 0, 7, 3]",0.9933435143434681,,,2502,Portland State,Big Sky,fcs,13.0,"[3, 3, 0, 7]",0.006656485656531874,,,1.7088351196,https://www.youtube.com/watch?v=CmS-tcvje4c,
401112139,2019,1,regular,2019-08-31T20:00:00.000Z,False,False,False,54183.0,3784,Jones AT&T Stadium,2641,Texas Tech,Big 12,fbs,45.0,"[14, 14, 3, 14]",0.9995738010168264,,,147,Montana State,Big Sky,fcs,10.0,"[0, 7, 0, 3]",0.00042619898317364235,,,0.2871722958,https://www.youtube.com/watch?v=3KICMULZ-NQ,
401127277,2019,1,regular,2019-08-31T20:00:00.000Z,False,False,False,,4221,Target Field,2449,North Dakota State,MVFC,fcs,57.0,"[15, 21, 14, 7]",,,,2086,Butler,Pioneer,fcs,10.0,"[0, 0, 10, 0]",,,,,,
401112245,2019,1,regular,2019-08-31T20:00:00.000Z,,False,False,37179.0,3940,Stanford Stadium,24,Stanford,Pac-12,fbs,17.0,"[0, 10, 0, 7]",0.8936946934265202,1638.0,1653.0,77,Northwestern,Big Ten,fbs,7.0,"[0, 0, 0, 7]",0.10630530657347981,1612.0,1597.0,5.2906002402,https://www.youtube.com/watch?v=QQCMtx77hQs,
